CHAPTER-LEVEL HEATMAP (Mean P(Jewish) | Uncertainty)
==========================================================================================

  Matthew
    Ch  1 [██████████████████████████░░░░] 0.874 +/-0.090 JEWISH
    Ch  2 [██████████████████████████░░░░] 0.883 +/-0.067 JEWISH
    Ch  3 [████████████████████████░░░░░░] 0.830 +/-0.094 JEWISH
    Ch  4 [██████████████████████████░░░░] 0.869 +/-0.068 JEWISH
    Ch  5 [█████████████████████░░░░░░░░░] 0.712 +/-0.136 JEWISH
    Ch  6 [███████████████████████░░░░░░░] 0.768 +/-0.121 JEWISH
    Ch  7 [███████████████████████░░░░░░░] 0.796 +/-0.099 JEWISH
    Ch  8 [████████████████████████░░░░░░] 0.817 +/-0.099 JEWISH
    Ch  9 [███████████████████████░░░░░░░] 0.773 +/-0.093 JEWISH
    Ch 10 [██████████████████████░░░░░░░░] 0.742 +/-0.121 JEWISH
    Ch 11 [██████████████████████░░░░░░░░] 0.760 +/-0.125 JEWISH
    Ch 12 [██████████████████████░░░░░░░░] 0.766 +/-0.130 JEWISH
    Ch 13 [███████████████████████░░░░░░░] 0.775 +/-0.103 JEWISH
    Ch 14 [█████████████████████████░░░░░] 0.835 +/-0.076 JEWISH
    Ch 15 [██████████████████████░░░░░░░░] 0.748 +/-0.109 JEWISH
    Ch 16 [██████████████████████░░░░░░░░] 0.756 +/-0.130 JEWISH
    Ch 17 [███████████████████████░░░░░░░] 0.780 +/-0.108 JEWISH
    Ch 18 [█████████████████████████░░░░░] 0.839 +/-0.106 JEWISH
    Ch 19 [███████████████████████░░░░░░░] 0.784 +/-0.107 JEWISH
    Ch 20 [███████████████████████░░░░░░░] 0.772 +/-0.107 JEWISH
    Ch 21 [███████████████████████░░░░░░░] 0.792 +/-0.104 JEWISH
    Ch 22 [███████████████████████░░░░░░░] 0.792 +/-0.102 JEWISH
    Ch 23 [███████████████████░░░░░░░░░░░] 0.645 +/-0.133 JEWISH
    Ch 24 [██████████████████████░░░░░░░░] 0.743 +/-0.097 JEWISH
    Ch 25 [█████████████████████░░░░░░░░░] 0.728 +/-0.107 JEWISH
    Ch 26 [████████████████████████░░░░░░] 0.810 +/-0.092 JEWISH
    Ch 27 [████████████████████████░░░░░░] 0.811 +/-0.092 JEWISH
    Ch 28 [█████████████████████████░░░░░] 0.852 +/-0.097 JEWISH

  Mark
    Ch  1 [█████████████████████████░░░░░] 0.854 +/-0.082 JEWISH
    Ch  2 [███████████████████████░░░░░░░] 0.792 +/-0.103 JEWISH
    Ch  3 [████████████████████████░░░░░░] 0.809 +/-0.101 JEWISH
    Ch  4 [████████████████████████░░░░░░] 0.811 +/-0.104 JEWISH
    Ch  5 [████████████████████████░░░░░░] 0.833 +/-0.095 JEWISH
    Ch  6 [████████████████████████░░░░░░] 0.800 +/-0.092 JEWISH
    Ch  7 [████████████████████████░░░░░░] 0.803 +/-0.103 JEWISH
    Ch  8 [███████████████████████░░░░░░░] 0.798 +/-0.095 JEWISH
    Ch  9 [███████████████████████░░░░░░░] 0.769 +/-0.104 JEWISH
    Ch 10 [██████████████████████░░░░░░░░] 0.754 +/-0.110 JEWISH
