book,book_full,category,chapter,orig_pj,orig_std,strip_pj,strip_std,delta,flipped,fully_editorial,n_stripped,categories_hit,orig_text,stripped_text,tokens_removed,robustness,random_flip_count,p_value
Matt,Matthew,Gospel,3,0.4600,0.2005,0.7668,0.1182,-0.3068,True,False,4,sacramental|pneumatological,αὐτὸς ὑμᾶς βαπτίσει ἐν πνεύματι ἁγίῳ ⸂καὶ πυρί⸃·,αὐτὸς ὑμᾶς ⸂καὶ πυρί⸃·,βαπτίσει|ἐν|πνεύματι|ἁγίῳ,FRAGILE,78,0.7821782178217822
Matt,Matthew,Gospel,11,0.4924,0.3047,0.4950,0.3355,-0.0026,False,False,1,hamartiology,"ὅτι εἰ ἐν Τύρῳ καὶ Σιδῶνι ἐγένοντο αἱ δυνάμεις αἱ γενόμεναι ἐν ὑμῖν, πάλαι ἂν ἐν σάκκῳ καὶ σποδῷ μετενόησαν.","ὅτι εἰ ἐν Τύρῳ καὶ Σιδῶνι ἐγένοντο αἱ δυνάμεις αἱ γενόμεναι ἐν ὑμῖν, πάλαι ἂν ἐν σάκκῳ καὶ σποδῷ",μετενόησαν.,,,
Matt,Matthew,Gospel,12,0.4483,0.3492,0.3564,0.3190,0.0919,False,False,5,pneumatological,"ὃς δ’ ἂν εἴπῃ κατὰ τοῦ πνεύματος τοῦ ἁγίου, οὐκ ἀφεθήσεται αὐτῷ οὔτε ἐν ⸂τούτῳ τῷ⸃ αἰῶνι οὔτε ἐν τῷ μέλλοντι.",ὃς δ’ ἂν εἴπῃ οὐκ ἀφεθήσεται αὐτῷ οὔτε ἐν ⸂τούτῳ τῷ⸃ αἰῶνι οὔτε ἐν τῷ μέλλοντι.,"κατὰ|τοῦ|πνεύματος|τοῦ|ἁγίου,",,,
Matt,Matthew,Gospel,16,0.3052,0.1799,0.1159,0.0873,0.1893,False,False,3,eschatological,ἀμὴν λέγω ὑμῖν ⸀ὅτι εἰσίν τινες ⸂τῶν ὧδε ἑστώτων⸃ οἵτινες οὐ μὴ γεύσωνται θανάτου ἕως ἂν ἴδωσιν τὸν υἱὸν τοῦ ἀνθρώπου ἐρχόμενον ἐν τῇ βασιλείᾳ αὐτοῦ.,ἀμὴν λέγω ὑμῖν ⸀ὅτι εἰσίν τινες ⸂τῶν ὧδε ἑστώτων⸃ οἵτινες οὐ μὴ γεύσωνται θανάτου ἕως ἂν ἴδωσιν τὸν υἱὸν τοῦ ἀνθρώπου ἐρχόμενον αὐτοῦ.,ἐν|τῇ|βασιλείᾳ,,,
Matt,Matthew,Gospel,18,0.3176,0.2087,0.2142,0.1322,0.1034,False,False,5,eschatological,"Ἀμὴν λέγω ὑμῖν, ἐὰν μὴ στραφῆτε καὶ γένησθε ὡς τὰ παιδία, οὐ μὴ εἰσέλθητε εἰς τὴν βασιλείαν τῶν οὐρανῶν.","Ἀμὴν λέγω ὑμῖν, ἐὰν μὴ στραφῆτε καὶ γένησθε ὡς τὰ παιδία, οὐ μὴ εἰσέλθητε",εἰς|τὴν|βασιλείαν|τῶν|οὐρανῶν.,,,
Matt,Matthew,Gospel,20,0.2182,0.2369,0.1599,0.1516,0.0583,False,False,1,ecclesiological,"ἀλλ’ ὃς ⸀ἂν θέλῃ ἐν ὑμῖν μέγας γενέσθαι ἔσται ὑμῶν διάκονος, καὶ ὃς ⸀ἂν θέλῃ ἐν ὑμῖν εἶναι πρῶτος ⸀ἔσται ὑμῶν δοῦλος·",ἀλλ’ ὃς ⸀ἂν θέλῃ ἐν ὑμῖν μέγας γενέσθαι ἔσται ὑμῶν καὶ ὃς ⸀ἂν θέλῃ ἐν ὑμῖν εἶναι πρῶτος ⸀ἔσται ὑμῶν δοῦλος·,"διάκονος,",,,
Matt,Matthew,Gospel,21,0.4139,0.1303,,,,False,True,,sacramental,τὸ βάπτισμα ⸀τὸ Ἰωάννου πόθεν ἦν;,,,,,
Matt,Matthew,Gospel,26,0.3838,0.1408,0.6325,0.0852,-0.2487,True,False,3,pneumatological,τὸ μὲν πνεῦμα πρόθυμον ἡ δὲ σὰρξ ἀσθενής.,μὲν ἡ δὲ σὰρξ ἀσθενής.,τὸ|πνεῦμα|πρόθυμον,FRAGILE,63,0.6336633663366337
Mark,Mark,Gospel,3,0.4314,0.1833,0.2940,0.1514,0.1374,False,False,2,pneumatological,ὅτι ἔλεγον· Πνεῦμα ἀκάθαρτον ἔχει.,ὅτι ἔλεγον· ἔχει.,Πνεῦμα|ἀκάθαρτον,,,
Mark,Mark,Gospel,9,0.0688,0.0538,0.0310,0.0144,0.0378,False,False,4,eschatological,Ἀμὴν λέγω ὑμῖν ὅτι εἰσίν τινες ⸂τῶν ὧδε⸃ ἑστηκότων οἵτινες οὐ μὴ γεύσωνται θανάτου ἕως ἂν ἴδωσιν τὴν βασιλείαν τοῦ θεοῦ ἐληλυθυῖαν ἐν δυνάμει.,Ἀμὴν λέγω ὑμῖν ὅτι εἰσίν τινες ⸂τῶν ὧδε⸃ ἑστηκότων οἵτινες οὐ μὴ γεύσωνται θανάτου ἕως ἂν ἴδωσιν ἐληλυθυῖαν ἐν δυνάμει.,τὴν|βασιλείαν|τοῦ|θεοῦ,,,
