book,book_full,category,chapter,orig_pj,orig_std,strip_pj,strip_std,delta,flipped,fully_editorial,n_stripped,categories_hit,orig_text,stripped_text,tokens_removed,robustness,random_flip_count,p_value
Matt,Matthew,Gospel,1,0.8838,0.1178,0.9245,0.0555,-0.0408,False,False,3,pneumatological,"⸀μνηστευθείσης τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν ἢ συνελθεῖν αὐτοὺς εὑρέθη ἐν γαστρὶ ἔχουσα ἐκ πνεύματος ἁγίου.","⸀μνηστευθείσης τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν ἢ συνελθεῖν αὐτοὺς εὑρέθη ἐν γαστρὶ ἔχουσα",ἐκ|πνεύματος|ἁγίου.,,,
Matt,Matthew,Gospel,1,0.6750,0.2434,0.5398,0.2731,0.1352,False,False,3,pneumatological,"Ἰωσὴφ υἱὸς Δαυίδ, μὴ φοβηθῇς παραλαβεῖν ⸀Μαρίαν τὴν γυναῖκά σου, τὸ γὰρ ἐν αὐτῇ γεννηθὲν ἐκ πνεύματός ἐστιν ἁγίου·","Ἰωσὴφ υἱὸς Δαυίδ, μὴ φοβηθῇς παραλαβεῖν ⸀Μαρίαν τὴν γυναῖκά σου, τὸ γὰρ ἐν αὐτῇ γεννηθὲν ἐστιν",ἐκ|πνεύματός|ἁγίου·,,,
Matt,Matthew,Gospel,1,0.9996,0.0003,0.9909,0.0091,0.0087,False,False,3,hamartiology,"τέξεται δὲ υἱὸν καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν, αὐτὸς γὰρ σώσει τὸν λαὸν αὐτοῦ ἀπὸ τῶν ἁμαρτιῶν αὐτῶν.","τέξεται δὲ υἱὸν καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν, αὐτὸς γὰρ σώσει τὸν λαὸν αὐτοῦ αὐτῶν.",ἀπὸ|τῶν|ἁμαρτιῶν,,,
Matt,Matthew,Gospel,3,0.8758,0.1204,,,,False,True,,hamartiology|eschatological,"Μετανοεῖτε, ἤγγικεν γὰρ ἡ βασιλεία τῶν οὐρανῶν.",,,,,
Matt,Matthew,Gospel,3,0.9851,0.0169,0.9437,0.0489,0.0414,False,False,6,sacramental|hamartiology,"τότε ἐξεπορεύετο πρὸς αὐτὸν Ἱεροσόλυμα καὶ πᾶσα ἡ Ἰουδαία καὶ πᾶσα ἡ περίχωρος τοῦ Ἰορδάνου, καὶ ἐβαπτίζοντο ἐν τῷ Ἰορδάνῃ ⸀ποταμῷ ὑπ’ αὐτοῦ ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν.","τότε πρὸς αὐτὸν Ἱεροσόλυμα καὶ πᾶσα ἡ Ἰουδαία ἡ περίχωρος τοῦ Ἰορδάνου, καὶ ἐν τῷ Ἰορδάνῃ ⸀ποταμῷ ὑπ’ αὐτοῦ ἐξομολογούμενοι αὐτῶν.",ἐξεπορεύετο|καὶ|πᾶσα|ἐβαπτίζοντο|τὰς|ἁμαρτίας,,,
Matt,Matthew,Gospel,3,0.9143,0.1094,0.7506,0.0954,0.1637,False,False,3,sacramental,Ἰδὼν δὲ πολλοὺς τῶν Φαρισαίων καὶ Σαδδουκαίων ἐρχομένους ἐπὶ τὸ βάπτισμα ⸀αὐτοῦ εἶπεν αὐτοῖς·,Ἰδὼν δὲ πολλοὺς τῶν Φαρισαίων καὶ Σαδδουκαίων ἐρχομένους ⸀αὐτοῦ εἶπεν αὐτοῖς·,ἐπὶ|τὸ|βάπτισμα,,,
Matt,Matthew,Gospel,3,0.9488,0.0294,0.7089,0.0838,0.2400,False,False,4,hamartiology,ποιήσατε οὖν καρπὸν ἄξιον τῆς μετανοίας καὶ μὴ δόξητε λέγειν ἐν ἑαυτοῖς·,ποιήσατε οὖν καρπὸν ἄξιον καὶ μὴ δόξητε λέγειν,τῆς|μετανοίας|ἐν|ἑαυτοῖς·,,,
Matt,Matthew,Gospel,3,0.5975,0.1882,0.6286,0.0957,-0.0311,False,False,3,sacramental|hamartiology,Ἐγὼ μὲν ⸂ὑμᾶς βαπτίζω⸃ ἐν ὕδατι εἰς μετάνοιαν·,Ἐγὼ μὲν ⸂ὑμᾶς ἐν ὕδατι,βαπτίζω⸃|εἰς|μετάνοιαν·,,,
Matt,Matthew,Gospel,3,0.9988,0.0014,0.9983,0.0022,0.0005,False,False,1,sacramental,Τότε παραγίνεται ὁ Ἰησοῦς ἀπὸ τῆς Γαλιλαίας ἐπὶ τὸν Ἰορδάνην πρὸς τὸν Ἰωάννην τοῦ βαπτισθῆναι ὑπ’ αὐτοῦ.,Τότε παραγίνεται ὁ Ἰησοῦς ἀπὸ τῆς Γαλιλαίας ἐπὶ τὸν Ἰορδάνην πρὸς τὸν Ἰωάννην τοῦ ὑπ’ αὐτοῦ.,βαπτισθῆναι,,,
Matt,Matthew,Gospel,3,0.9160,0.0667,0.9143,0.0789,0.0017,False,False,1,sacramental,"Ἐγὼ χρείαν ἔχω ὑπὸ σοῦ βαπτισθῆναι, καὶ σὺ ἔρχῃ πρός με;",Ἐγὼ χρείαν ἔχω ὑπὸ σοῦ καὶ σὺ ἔρχῃ πρός με;,"βαπτισθῆναι,",,,
Matt,Matthew,Gospel,3,0.9731,0.0226,0.9275,0.0427,0.0456,False,False,1,sacramental,⸂βαπτισθεὶς δὲ⸃ ὁ Ἰησοῦς ⸂εὐθὺς ἀνέβη⸃ ἀπὸ τοῦ ὕδατος·,δὲ⸃ ὁ Ἰησοῦς ⸂εὐθὺς ἀνέβη⸃ ἀπὸ τοῦ ὕδατος·,⸂βαπτισθεὶς,,,
Matt,Matthew,Gospel,3,0.6200,0.1566,0.5834,0.1894,0.0366,False,False,2,pneumatological,"καὶ ἰδοὺ ⸀ἠνεῴχθησαν οἱ οὐρανοί, καὶ εἶδεν ⸀πνεῦμα θεοῦ καταβαῖνον ὡσεὶ ⸀περιστερὰν ἐρχόμενον ἐπ’ αὐτόν·","καὶ ἰδοὺ ⸀ἠνεῴχθησαν οἱ οὐρανοί, καὶ εἶδεν καταβαῖνον ὡσεὶ ⸀περιστερὰν ἐρχόμενον ἐπ’ αὐτόν·",⸀πνεῦμα|θεοῦ,,,
Matt,Matthew,Gospel,4,0.9957,0.0021,0.8097,0.1198,0.1860,False,False,9,pneumatological,"Τότε ὁ Ἰησοῦς ἀνήχθη εἰς τὴν ἔρημον ὑπὸ τοῦ πνεύματος, πειρασθῆναι ὑπὸ τοῦ διαβόλου.",Τότε ὁ Ἰησοῦς ἀνήχθη πειρασθῆναι,"εἰς|τὴν|ἔρημον|ὑπὸ|τοῦ|πνεύματος,|ὑπὸ|τοῦ|διαβόλου.",,,
Matt,Matthew,Gospel,4,0.9950,0.0096,0.9798,0.0215,0.0152,False,False,5,eschatological,"Πάλιν παραλαμβάνει αὐτὸν ὁ διάβολος εἰς ὄρος ὑψηλὸν λίαν, καὶ δείκνυσιν αὐτῷ πάσας τὰς βασιλείας τοῦ κόσμου καὶ τὴν δόξαν αὐτῶν καὶ ⸀εἶπεν αὐτῷ·","Πάλιν παραλαμβάνει αὐτὸν ὁ διάβολος εἰς ὄρος ὑψηλὸν λίαν, καὶ δείκνυσιν αὐτῷ καὶ τὴν δόξαν αὐτῶν καὶ ⸀εἶπεν αὐτῷ·",πάσας|τὰς|βασιλείας|τοῦ|κόσμου,,,
Matt,Matthew,Gospel,4,0.8795,0.1183,,,,False,True,,hamartiology|eschatological,"Μετανοεῖτε, ἤγγικεν γὰρ ἡ βασιλεία τῶν οὐρανῶν.",,,,,
Matt,Matthew,Gospel,4,0.9977,0.0055,0.9971,0.0060,0.0006,False,False,2,eschatological,"Καὶ περιῆγεν ⸂ἐν ὅλῃ τῇ Γαλιλαίᾳ⸃, διδάσκων ἐν ταῖς συναγωγαῖς αὐτῶν καὶ κηρύσσων τὸ εὐαγγέλιον τῆς βασιλείας καὶ θεραπεύων πᾶσαν νόσον καὶ πᾶσαν μαλακίαν ἐν τῷ λαῷ.","Καὶ περιῆγεν ⸂ἐν ὅλῃ τῇ Γαλιλαίᾳ⸃, διδάσκων ἐν ταῖς συναγωγαῖς αὐτῶν καὶ κηρύσσων τὸ εὐαγγέλιον καὶ θεραπεύων πᾶσαν νόσον καὶ πᾶσαν μαλακίαν ἐν τῷ λαῷ.",τῆς|βασιλείας,,,
Matt,Matthew,Gospel,5,0.7414,0.2045,0.8107,0.1631,-0.0694,False,False,9,pneumatological|eschatological,"Μακάριοι οἱ πτωχοὶ τῷ πνεύματι, ὅτι αὐτῶν ἐστιν ἡ βασιλεία τῶν οὐρανῶν.",ὅτι αὐτῶν ἐστιν,"Μακάριοι|οἱ|πτωχοὶ|τῷ|πνεύματι,|ἡ|βασιλεία|τῶν|οὐρανῶν.",,,
Matt,Matthew,Gospel,5,0.8852,0.0962,0.6798,0.0990,0.2054,False,False,4,eschatological,"μακάριοι οἱ δεδιωγμένοι ἕνεκεν δικαιοσύνης, ὅτι αὐτῶν ἐστιν ἡ βασιλεία τῶν οὐρανῶν.","μακάριοι οἱ δεδιωγμένοι ἕνεκεν δικαιοσύνης, ὅτι αὐτῶν ἐστιν",ἡ|βασιλεία|τῶν|οὐρανῶν.,,,
Matt,Matthew,Gospel,5,0.9047,0.1285,0.8102,0.1196,0.0945,False,False,5,eschatological,"ὃς ἐὰν οὖν λύσῃ μίαν τῶν ἐντολῶν τούτων τῶν ἐλαχίστων καὶ διδάξῃ οὕτως τοὺς ἀνθρώπους, ἐλάχιστος κληθήσεται ἐν τῇ βασιλείᾳ τῶν οὐρανῶν·","ὃς ἐὰν οὖν λύσῃ μίαν τῶν ἐντολῶν τούτων τῶν ἐλαχίστων καὶ διδάξῃ οὕτως τοὺς ἀνθρώπους, ἐλάχιστος κληθήσεται",ἐν|τῇ|βασιλείᾳ|τῶν|οὐρανῶν·,,,
Matt,Matthew,Gospel,5,0.9106,0.1387,0.6037,0.2617,0.3069,False,False,6,eschatological,"ὃς δ’ ἂν ποιήσῃ καὶ διδάξῃ, οὗτος μέγας κληθήσεται ἐν τῇ βασιλείᾳ τῶν οὐρανῶν.","ὃς δ’ ἂν ποιήσῃ καὶ διδάξῃ, οὗτος κληθήσεται",μέγας|ἐν|τῇ|βασιλείᾳ|τῶν|οὐρανῶν.,,,
Matt,Matthew,Gospel,5,0.7986,0.1486,0.4038,0.1724,0.3948,True,False,5,eschatological,"λέγω γὰρ ὑμῖν ὅτι ἐὰν μὴ περισσεύσῃ ⸂ὑμῶν ἡ δικαιοσύνη⸃ πλεῖον τῶν γραμματέων καὶ Φαρισαίων, οὐ μὴ εἰσέλθητε εἰς τὴν βασιλείαν τῶν οὐρανῶν.","λέγω γὰρ ὑμῖν ὅτι ἐὰν μὴ περισσεύσῃ ⸂ὑμῶν ἡ δικαιοσύνη⸃ πλεῖον τῶν γραμματέων καὶ Φαρισαίων, οὐ μὴ εἰσέλθητε",εἰς|τὴν|βασιλείαν|τῶν|οὐρανῶν.,FRAGILE,32,0.32673267326732675
Matt,Matthew,Gospel,6,0.9283,0.1122,0.9260,0.1380,0.0023,False,False,2,eschatological,"ἁγιασθήτω τὸ ὄνομά σου, ἐλθέτω ἡ βασιλεία σου, γενηθήτω τὸ θέλημά σου, ὡς ἐν οὐρανῷ καὶ ⸀ἐπὶ γῆς·","ἁγιασθήτω τὸ ὄνομά σου, ἐλθέτω σου, γενηθήτω τὸ θέλημά σου, ὡς ἐν οὐρανῷ καὶ ⸀ἐπὶ γῆς·",ἡ|βασιλεία,,,
Matt,Matthew,Gospel,6,0.9143,0.1251,0.9398,0.0595,-0.0255,False,False,3,eschatological,"ζητεῖτε δὲ πρῶτον τὴν ⸀βασιλείαν καὶ τὴν δικαιοσύνην αὐτοῦ, καὶ ταῦτα πάντα προστεθήσεται ὑμῖν.","ζητεῖτε δὲ καὶ τὴν δικαιοσύνην αὐτοῦ, καὶ ταῦτα πάντα προστεθήσεται ὑμῖν.",πρῶτον|τὴν|⸀βασιλείαν,,,
