book,book_full,category,chapter,orig_pj,orig_std,strip_pj,strip_std,delta,flipped,fully_editorial,n_stripped,categories_hit,orig_text,stripped_text,tokens_removed,robustness,random_flip_count,p_value
Matt,Matthew,Gospel,1,0.8838,0.1178,0.9276,0.0652,-0.0439,False,False,1,holiness,"⸀μνηστευθείσης τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν ἢ συνελθεῖν αὐτοὺς εὑρέθη ἐν γαστρὶ ἔχουσα ἐκ πνεύματος ἁγίου.","⸀μνηστευθείσης τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν ἢ συνελθεῖν αὐτοὺς εὑρέθη ἐν γαστρὶ ἔχουσα ἐκ πνεύματος",ἁγίου.,,,
Matt,Matthew,Gospel,1,0.6750,0.2434,0.7173,0.2407,-0.0423,False,False,1,holiness,"Ἰωσὴφ υἱὸς Δαυίδ, μὴ φοβηθῇς παραλαβεῖν ⸀Μαρίαν τὴν γυναῖκά σου, τὸ γὰρ ἐν αὐτῇ γεννηθὲν ἐκ πνεύματός ἐστιν ἁγίου·","Ἰωσὴφ υἱὸς Δαυίδ, μὴ φοβηθῇς παραλαβεῖν ⸀Μαρίαν τὴν γυναῖκά σου, τὸ γὰρ ἐν αὐτῇ γεννηθὲν ἐκ πνεύματός ἐστιν",ἁγίου·,,,
Matt,Matthew,Gospel,1,0.7970,0.1037,0.8238,0.0975,-0.0267,False,False,2,divine_reference,ὅ ἐστιν μεθερμηνευόμενον Μεθ’ ἡμῶν ὁ θεός.,ὅ ἐστιν μεθερμηνευόμενον Μεθ’ ἡμῶν,ὁ|θεός.,,,
Matt,Matthew,Gospel,2,0.9970,0.0019,0.9233,0.0719,0.0737,False,False,4,divine_reference,ἀκούσας δὲ ὅτι Ἀρχέλαος ⸀βασιλεύει τῆς Ἰουδαίας ἀντὶ ⸂τοῦ πατρὸς αὐτοῦ Ἡρῴδου⸃ ἐφοβήθη ἐκεῖ ἀπελθεῖν·,ἀκούσας δὲ ὅτι Ἀρχέλαος ⸀βασιλεύει τῆς Ἰουδαίας αὐτοῦ ἐφοβήθη ἐκεῖ ἀπελθεῖν·,ἀντὶ|⸂τοῦ|πατρὸς|Ἡρῴδου⸃,,,
Matt,Matthew,Gospel,3,0.9894,0.0177,0.7455,0.2437,0.2438,False,False,6,divine_reference,"Πατέρα ἔχομεν τὸν Ἀβραάμ, λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ.","ἔχομεν τὸν Ἀβραάμ, λέγω γὰρ ὑμῖν ὅτι δύναται τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ.",Πατέρα|ὁ|θεὸς|ἐκ|τῶν|λίθων,,,
Matt,Matthew,Gospel,3,0.6200,0.1566,0.6400,0.1236,-0.0199,False,False,1,divine_reference,"καὶ ἰδοὺ ⸀ἠνεῴχθησαν οἱ οὐρανοί, καὶ εἶδεν ⸀πνεῦμα θεοῦ καταβαῖνον ὡσεὶ ⸀περιστερὰν ἐρχόμενον ἐπ’ αὐτόν·","καὶ ἰδοὺ ⸀ἠνεῴχθησαν οἱ οὐρανοί, καὶ εἶδεν ⸀πνεῦμα καταβαῖνον ὡσεὶ ⸀περιστερὰν ἐρχόμενον ἐπ’ αὐτόν·",θεοῦ,,,
Matt,Matthew,Gospel,4,0.9840,0.0286,0.9097,0.0652,0.0743,False,False,2,divine_reference,"Εἰ υἱὸς εἶ τοῦ θεοῦ, εἰπὲ ἵνα οἱ λίθοι οὗτοι ἄρτοι γένωνται.",Εἰ υἱὸς εἶ εἰπὲ ἵνα οἱ λίθοι οὗτοι ἄρτοι γένωνται.,"τοῦ|θεοῦ,",,,
Matt,Matthew,Gospel,4,0.8278,0.0948,0.7999,0.1232,0.0279,False,False,1,divine_reference,"Γέγραπται· Οὐκ ἐπ’ ἄρτῳ μόνῳ ζήσεται ⸀ὁ ἄνθρωπος, ἀλλ’ ⸀ἐπὶ παντὶ ῥήματι ἐκπορευομένῳ διὰ στόματος θεοῦ.","Γέγραπται· Οὐκ ἐπ’ ἄρτῳ μόνῳ ζήσεται ⸀ὁ ἄνθρωπος, ἀλλ’ ⸀ἐπὶ παντὶ ῥήματι ἐκπορευομένῳ διὰ στόματος",θεοῦ.,,,
Matt,Matthew,Gospel,4,0.9951,0.0076,0.9723,0.0205,0.0228,False,False,5,holiness,"Τότε παραλαμβάνει αὐτὸν ὁ διάβολος εἰς τὴν ἁγίαν πόλιν, καὶ ⸀ἔστησεν αὐτὸν ἐπὶ τὸ πτερύγιον τοῦ ἱεροῦ, καὶ λέγει αὐτῷ·","Τότε παραλαμβάνει αὐτὸν πόλιν, καὶ ⸀ἔστησεν αὐτὸν ἐπὶ τὸ πτερύγιον τοῦ ἱεροῦ, καὶ λέγει αὐτῷ·",ὁ|διάβολος|εἰς|τὴν|ἁγίαν,,,
Matt,Matthew,Gospel,4,0.6484,0.1788,0.3819,0.2014,0.2664,True,False,2,divine_reference,"Εἰ υἱὸς εἶ τοῦ θεοῦ, βάλε σεαυτὸν κάτω·",Εἰ υἱὸς εἶ βάλε σεαυτὸν κάτω·,"τοῦ|θεοῦ,",FRAGILE,39,0.39603960396039606
Matt,Matthew,Gospel,4,0.9475,0.0547,0.9443,0.0473,0.0032,False,False,2,divine_reference,Πάλιν γέγραπται· Οὐκ ἐκπειράσεις κύριον τὸν θεόν σου.,Πάλιν γέγραπται· Οὐκ ἐκπειράσεις κύριον σου.,τὸν|θεόν,,,
Matt,Matthew,Gospel,4,0.9950,0.0096,0.9902,0.0098,0.0048,False,False,2,holiness,"Πάλιν παραλαμβάνει αὐτὸν ὁ διάβολος εἰς ὄρος ὑψηλὸν λίαν, καὶ δείκνυσιν αὐτῷ πάσας τὰς βασιλείας τοῦ κόσμου καὶ τὴν δόξαν αὐτῶν καὶ ⸀εἶπεν αὐτῷ·","Πάλιν παραλαμβάνει αὐτὸν ὁ διάβολος εἰς ὄρος ὑψηλὸν λίαν, καὶ δείκνυσιν αὐτῷ πάσας τὰς βασιλείας τοῦ κόσμου καὶ αὐτῶν καὶ ⸀εἶπεν αὐτῷ·",τὴν|δόξαν,,,
Matt,Matthew,Gospel,4,0.9714,0.0396,0.8403,0.1309,0.1310,False,False,2,divine_reference,Κύριον τὸν θεόν σου προσκυνήσεις καὶ αὐτῷ μόνῳ λατρεύσεις.,Κύριον σου προσκυνήσεις καὶ αὐτῷ μόνῳ λατρεύσεις.,τὸν|θεόν,,,
Matt,Matthew,Gospel,4,1.0000,0.0001,0.9998,0.0003,0.0001,False,False,2,divine_reference,"Καὶ προβὰς ἐκεῖθεν εἶδεν ἄλλους δύο ἀδελφούς, Ἰάκωβον τὸν τοῦ Ζεβεδαίου καὶ Ἰωάννην τὸν ἀδελφὸν αὐτοῦ, ἐν τῷ πλοίῳ μετὰ Ζεβεδαίου τοῦ πατρὸς αὐτῶν καταρτίζοντας τὰ δίκτυα αὐτῶν, καὶ ἐκάλεσεν αὐτούς.","Καὶ προβὰς ἐκεῖθεν εἶδεν ἄλλους δύο ἀδελφούς, Ἰάκωβον τὸν τοῦ Ζεβεδαίου καὶ Ἰωάννην τὸν ἀδελφὸν αὐτοῦ, ἐν τῷ πλοίῳ μετὰ Ζεβεδαίου αὐτῶν καταρτίζοντας τὰ δίκτυα αὐτῶν, καὶ ἐκάλεσεν αὐτούς.",τοῦ|πατρὸς,,,
Matt,Matthew,Gospel,4,0.8852,0.0784,0.8075,0.1216,0.0776,False,False,2,divine_reference,οἱ δὲ εὐθέως ἀφέντες τὸ πλοῖον καὶ τὸν πατέρα αὐτῶν ἠκολούθησαν αὐτῷ.,οἱ δὲ εὐθέως ἀφέντες τὸ πλοῖον καὶ αὐτῶν ἠκολούθησαν αὐτῷ.,τὸν|πατέρα,,,
