book,book_full,category,chapter,clause_idx,sent_id,strategy,orig_pj,orig_std,stripped_pj,stripped_std,delta_pj,flipped,fully_editorial,n_orig,n_stripped,n_remaining,strip_ratio,categories_hit,orig_text,stripped_text,tokens_removed,robustness,random_flip_count,p_value
Matt,Matthew,Gospel,1,1,Matt.1.1,all,0.6657,0.1132,,,,False,True,8,6,2,0.7500,patriarchal|christological,Βίβλος γενέσεως Ἰησοῦ χριστοῦ υἱοῦ Δαυὶδ υἱοῦ Ἀβραάμ.,Βίβλος γενέσεως,Ἰησοῦ|χριστοῦ|υἱοῦ|Δαυὶδ|υἱοῦ|Ἀβραάμ.,,,
Matt,Matthew,Gospel,1,1,Matt.1.1,christological,0.6657,0.1132,0.4889,0.1011,0.1767,True,False,8,5,3,0.6250,christological,Βίβλος γενέσεως Ἰησοῦ χριστοῦ υἱοῦ Δαυὶδ υἱοῦ Ἀβραάμ.,Βίβλος γενέσεως Ἀβραάμ.,Ἰησοῦ|χριστοῦ|υἱοῦ|Δαυὶδ|υἱοῦ,,,
Matt,Matthew,Gospel,1,1,Matt.1.1,patriarchal,0.6657,0.1132,0.6833,0.0882,-0.0177,False,False,8,2,6,0.2500,patriarchal,Βίβλος γενέσεως Ἰησοῦ χριστοῦ υἱοῦ Δαυὶδ υἱοῦ Ἀβραάμ.,Βίβλος γενέσεως Ἰησοῦ χριστοῦ υἱοῦ υἱοῦ,Δαυὶδ|Ἀβραάμ.,,,
Matt,Matthew,Gospel,1,7,Matt.1.10,all,0.6170,0.1009,0.7521,0.0634,-0.1351,False,False,9,2,7,0.2222,christological,Τούτους τοὺς δώδεκα ἀπέστειλεν ὁ Ἰησοῦς παραγγείλας αὐτοῖς λέγων·,Τούτους τοὺς δώδεκα ἀπέστειλεν παραγγείλας αὐτοῖς λέγων·,ὁ|Ἰησοῦς,,,
Matt,Matthew,Gospel,1,7,Matt.1.10,christological,0.6170,0.1009,0.7521,0.0634,-0.1351,False,False,9,2,7,0.2222,christological,Τούτους τοὺς δώδεκα ἀπέστειλεν ὁ Ἰησοῦς παραγγείλας αὐτοῖς λέγων·,Τούτους τοὺς δώδεκα ἀπέστειλεν παραγγείλας αὐτοῖς λέγων·,ὁ|Ἰησοῦς,,,
Matt,Matthew,Gospel,1,9,Matt.1.10,all,0.8278,0.0759,0.7558,0.0954,0.0720,False,False,10,1,9,0.1000,patriarchal,πορεύεσθε δὲ μᾶλλον πρὸς τὰ πρόβατα τὰ ἀπολωλότα οἴκου Ἰσραήλ.,πορεύεσθε δὲ μᾶλλον πρὸς τὰ πρόβατα τὰ ἀπολωλότα οἴκου,Ἰσραήλ.,,,
Matt,Matthew,Gospel,1,9,Matt.1.10,patriarchal,0.8278,0.0759,0.7558,0.0954,0.0720,False,False,10,1,9,0.1000,patriarchal,πορεύεσθε δὲ μᾶλλον πρὸς τὰ πρόβατα τὰ ἀπολωλότα οἴκου Ἰσραήλ.,πορεύεσθε δὲ μᾶλλον πρὸς τὰ πρόβατα τὰ ἀπολωλότα οἴκου,Ἰσραήλ.,,,
Matt,Matthew,Gospel,1,14,Matt.1.11,all,0.6092,0.1921,0.6734,0.1600,-0.0642,False,False,21,2,19,0.0952,christological,"Καὶ ἐγένετο ὅτε ἐτέλεσεν ὁ Ἰησοῦς διατάσσων τοῖς δώδεκα μαθηταῖς αὐτοῦ, μετέβη ἐκεῖθεν τοῦ διδάσκειν καὶ κηρύσσειν ἐν ταῖς πόλεσιν αὐτῶν.","Καὶ ἐγένετο ὅτε ἐτέλεσεν διατάσσων τοῖς δώδεκα μαθηταῖς αὐτοῦ, μετέβη ἐκεῖθεν τοῦ διδάσκειν καὶ κηρύσσειν ἐν ταῖς πόλεσιν αὐτῶν.",ὁ|Ἰησοῦς,,,
Matt,Matthew,Gospel,1,14,Matt.1.11,christological,0.6092,0.1921,0.6734,0.1600,-0.0642,False,False,21,2,19,0.0952,christological,"Καὶ ἐγένετο ὅτε ἐτέλεσεν ὁ Ἰησοῦς διατάσσων τοῖς δώδεκα μαθηταῖς αὐτοῦ, μετέβη ἐκεῖθεν τοῦ διδάσκειν καὶ κηρύσσειν ἐν ταῖς πόλεσιν αὐτῶν.","Καὶ ἐγένετο ὅτε ἐτέλεσεν διατάσσων τοῖς δώδεκα μαθηταῖς αὐτοῦ, μετέβη ἐκεῖθεν τοῦ διδάσκειν καὶ κηρύσσειν ἐν ταῖς πόλεσιν αὐτῶν.",ὁ|Ἰησοῦς,,,
Matt,Matthew,Gospel,1,15,Matt.1.11,all,0.9335,0.0533,0.9326,0.0328,0.0009,False,False,18,2,16,0.1111,christological,Ὁ δὲ Ἰωάννης ἀκούσας ἐν τῷ δεσμωτηρίῳ τὰ ἔργα τοῦ χριστοῦ πέμψας ⸀διὰ τῶν μαθητῶν αὐτοῦ εἶπεν αὐτῷ·,Ὁ δὲ Ἰωάννης ἀκούσας ἐν τῷ δεσμωτηρίῳ τὰ ἔργα πέμψας ⸀διὰ τῶν μαθητῶν αὐτοῦ εἶπεν αὐτῷ·,τοῦ|χριστοῦ,,,
